Id,Name,Company Name,Position,Talk/Panel Topics,Bio,Head Shot,,,,,,,,,,,,,,,,
1,Lewis Liu,Faraday Future,Head of Strategic Partnership & Business Development,Keynote - Future of Technology,,,,,,,,,,,,,,,,,,
2,Chris Cowen,Herzog and Company,EVP,"Ent. Track - Talk: Lights, Camera, Story, Music: Innovation in Production",bio,photo,,,,,,,,,,,,,,,,
3,Drew Minock,DAQRI,Outreach Manager,Keynote - The Future Reality,bio,photo,,,,,,,,,,,,,,,,
4,Daniel Seah,Digital Domain,CEO,Keynote - How Technolgy Drives The Entertainment Industry,bio,photo,,,,,,,,,,,,,,,,
5,Vijay Karunamurthy,nom,Co-Founder & CEO,Ent. Track - Talk: How to Create a Digital Community,bio,photo,,,,,,,,,,,,,,,,
6,Abe Forman-Greenwald,BuzzFeed Motion Pictures,Producer & Director,Ent. Track - Talk: How to make short videos that audiences will actually watch,bio,photo,,,,,,,,,,,,,,,,
7,Bill Badalato,Producer,Producer ,Ent. Track - Talk: The Movie Journey,bio,photo,,,,,,,,,,,,,,,,
8,Eric Ashenberg,Esq.,Ashenberg Law Group,Ent. Track - Talk: The Movie Journey,bio,photo,,,,,,,,,,,,,,,,
9,Edwin Wong,BuzzFeed,VP of Research & Insights,Ent. Track - Talk: Humanization of Digitalization,bio,photo,,,,,,,,,,,,,,,,
10,Natascha French,VNTANA,CMO,Ent. Track - Talk: Using Augmented Reality to Create Impactful User Generated Content,bio,photo,,,,,,,,,,,,,,,,
11,Michael Cruz,Skybound Entertainment,Director of Digital Programming,Ent. Track - Talk: Content Creation and Growth for Your Core Audience,bio,photo,,,,,,,,,,,,,,,,
12,Nancy Wang,CTVentures,Director,Startup Track - Panel: Gender Equality in the Startup World,bio,photo,,,,,,,,,,,,,,,,
13,Nanxi Liu,Enplug,Co-founder & CEO,Startup Track - Panel: Gender Equality in the Startup World,bio,photo,,,,,,,,,,,,,,,,
14,Jessica Blotter,Kind Traveler,Co-founder & CEO,Startup Track - Panel: Gender Equality in the Startup World,bio,photo,,,,,,,,,,,,,,,,
15,Clarissa Pinto Ribeiro,Crescent Solutions,Tech Recruiter,Startup Track - Panel: Gender Equality in the Startup World (moderator & speaker),bio,photo,,,,,,,,,,,,,,,,
16,Alfred Fung,fun-gi.com,Founder & CEO,Startup Track - Panel: Startup Journey,bio,photo,,,,,,,,,,,,,,,,
17,Sonya Lee,Dude I Need A Truck,Co-founder & CPO,Startup Track - Panel: Startup Journey,bio,photo,,,,,,,,,,,,,,,,
18,Stephen Chen,Petnostics ,Founder & CEO,Startup Track - Panel: Startup Journey,bio,photo,,,,,,,,,,,,,,,,
19,Ian Chen,Discotech,Co-founder & CEO,Startup Track - Panel: Startup Journey,bio,photo,,,,,,,,,,,,,,,,
20,Alex Lin,Hush,Founder & CEO,Startup Track - Panel: Startup Journey,bio,photo,,,,,,,,,,,,,,,,
21,Kina De Santis,WeGreenlight,Director of Business Development,Startup Track - Talk: The Advantage of Being a Woman in Tech,bio,photo,,,,,,,,,,,,,,,,
22,William Wang,Vizio,Founder & CEO,Startup Track - Talk: How Vizio Took On the Consumer Electronic Industry Giants and Succeeded,bio,photo,,,,,,,,,,,,,,,,
23,William Hsu,Mucker Capital,Co-founder & Managing Partner,Startup Track - Talk: Silicon Beach and Future Direction,bio,photo,,,,,,,,,,,,,,,,
24,Ted Ross,City of Los Angeles,CIO,Tech. Track - Panel: How IoT Is Unlocking the Real Economy 2.0? (moderator & speaker),bio,photo,,,,,,,,,,,,,,,,
25,Doane Liu,Port of Los Angeles,Deputy Executive Director,Tech. Track - Panel: How IoT Is Unlocking the Real Economy 2.0?,bio,photo,,,,,,,,,,,,,,,,
26,Biren Gandhi,Cisco Systems,Distinguished Strategist,Tech. Track - Panel: How IoT Is Unlocking the Real Economy 2.0?,bio,photo,,,,,,,,,,,,,,,,
27,Ajay Mungara,Intel,Senior Product Manager ,Tech. Track - Panel: How IoT Is Unlocking the Real Economy 2.0?,bio,photo,,,,,,,,,,,,,,,,
28,Chun-Chen (Albert) Liu,Kneron,Founder & CEO,Tech. Track - Panel: How IoT Is Unlocking the Real Economy 2.0?,bio,photo,,,,,,,,,,,,,,,,
29,Dylan Southard,VRPLAYHOUSE,Creative Director,Tech. Track - Panel: Interactive & Engaging Media (VR),bio,photo,,,,,,,,,,,,,,,,
30,Robin Ardeshir,Plug and Play - LA,Managing Director,Tech. Track - Panel: Interactive & Engaging Media (VR),bio,photo,,,,,,,,,,,,,,,,
31,Joel Ogden,ConstructStudio,Co-founder & CEO,Tech. Track - Panel: Interactive & Engaging Media (VR),bio,photo,,,,,,,,,,,,,,,,
32,Rachel Skidmore,Skybound Entertainment,Director of Media Development,Tech. Track - Panel: Interactive & Engaging Media (VR),bio,photo,,,,,,,,,,,,,,,,
33,John Canning,VP New Media,Producers Guild of America ,Tech. Track - Panel: Interactive & Engaging Media (VR) (moderator & speaker),bio,photo,,,,,,,,,,,,,,,,
34,Harrison Tang,Spokeo,Co-founder & CEO,"Tech. Track - Talk: N3XT CEO, The Philosophy Behind Spokeo ",bio,photo,,,,,,,,,,,,,,,,
35,Nick Desai,Heal,Co-founder & CEO,Tech. Track - Talk: On Demand Doctors for Everyone,bio,photo,,,,,,,,,,,,,,,,
36,Henry Shu,SpeedyAI,Founder & CEO,Tech. Track - Talk:  Redefining Mobile Computing: On-Device AI,bio,photo,,,,,,,,,,,,,,,,
37,Yu-Feng Wei,Vizuro,Co-founder & CEO,Tech. Track - Talk: How Machine Learning is advancing healthcare,bio,photo,,,,,,,,,,,,,,,,
38,Anuj Bhalla,"serviceMob, Inc.",Founder & CEO,Tech. Track - Talk: Artificial Intelligence in Customer Service,bio,photo,,,,,,,,,,,,,,,,
39,Alyse Killeen,Managing Partner,StillMark Co.,Pitch.Co Opening: Digital Currency - Global Financial Institutions and the Innovative Frontier,bio,photo,,,,,,,,,,,,,,,,
40,Jeffrey Chu,WI Harper Group,Partner,Pitch.Co Judges,bio,photo,,,,,,,,,,,,,,,,
